S. No.,Category,State_UT,Case _Registered,Cases_ Stayed by Courts,Cases_Chargesheeted,Cases_Final Report Submitted,No of Police Personel_Arrested,No of Police_Chargesheeted,No of Police_Cases Withdrawn/Disposed Off,No of Police Personel_Convicted,No of Police_Discharged
1,State,Andhra Pradesh,97,2,45,5,0,61,0,20,10
2,State,Arunachal Pradesh,5,0,0,1,0,0,0,0,0
3,State,Assam,30,0,5,10,0,5,6,1,1
4,State,Bihar,43,0,11,1,0,63,55,18,0
5,State,Chhattisgarh,255,2,3,16,19,12,0,3,3
6,State,Goa,10,0,0,8,0,9,0,1,1
7,State,Gujarat,170,4,125,107,174,163,2,36,10
8,State,Haryana,64,0,46,31,0,26,7,2,1
9,State,Himachal Pradesh,13,0,5,43,0,9,2,0,0
10,State,Jammu & Kashmir,47,0,0,34,0,40,1,1,0
11,State,Jharkhand,2,0,0,0,0,0,0,0,0
12,State,Karnataka,92,1,38,20,0,17,5,5,0
13,State,Kerala,97,2,31,12,6,31,1,4,8
14,State,Madhya Pradesh,172,0,97,63,18,73,8,20,356
15,State,Maharashtra,401,7,197,28,319,197,3,35,0
16,State,Manipur,2,0,0,0,0,0,0,0,0
17,State,Meghalaya,1,0,0,0,0,0,0,0,0
18,State,Mizoram,3,0,0,2,0,2,0,0,0
19,State,Nagaland,3,0,0,0,0,0,0,0,0
20,State,Odisha,19,0,1,4,4,4,0,1,0
21,State,Punjab,286,6,17,14,0,18,13,7,11
22,State,Rajasthan,1340,2,138,112,3,455,0,90,7
23,State,Sikkim,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,71,1,7,25,26,19,1,2,3
25,State,Telangana,111,0,48,1,0,46,2,12,0
26,State,Tripura,11,1,1,5,0,1,0,0,0
27,State,Uttar Pradesh,90,3,32,27,0,46,15,5,131
28,State,Uttarakhand,5,0,2,3,3,0,0,0,0
29,State,West Bengal,46,27,9,11,0,35,6,4,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
